gene_symbol	gene_symbol_long	identifier
BFT	phosphatidylethanolamine-binding protein BFT	glyma.Wm82.gnm2.ann1.Glyma.16g196300
BG7S-1	basic 7S globulin	glyma.Wm82.gnm2.ann1.Glyma.03g239700
BG7S-2	basic 7S globulin 2	glyma.Wm82.gnm2.ann1.Glyma.19g236600
bHLH15	bHLH protein	glyma.Wm82.gnm2.ann1.Glyma.15G005100
BHLH30	Basic helix-loop-helix transcription factor 30	glyma.Wm82.gnm2.ann1.Glyma.02G100700
BHLH300	bHLH transcription factor bHLH300	glyma.Wm82.gnm2.ann1.Glyma.03g130600
BHLH320	bHLH transcription factor bHLH320	glyma.Wm82.gnm2.ann1.Glyma.03g130400
BHLH322	bHLH transcription factor bHLH322	glyma.Wm82.gnm2.ann1.Glyma.19g132600
bHLH35	PREDICTED: transcription factor bHLH35-like	glyma.Wm82.gnm2.ann1.Glyma.13G101100
bHLH5	bHLH protein	glyma.Wm82.gnm2.ann1.Glyma.05G134400
BHLH56	basic helix-loop-helix transcription factor	glyma.Wm82.gnm2.ann1.Glyma.13g322100
BHLH57	bHLH transcription factor	glyma.Wm82.gnm2.ann1.Glyma.12g178500
BHLH59	basic helix-loop-helix transcription factor bHLH59	glyma.Wm82.gnm2.ann1.Glyma.11g192800
bHLH7	bHLH protein	glyma.Wm82.gnm2.ann1.Glyma.07G205800
Bic-C1	Bicaudal- C gene 1	glyma.Wm82.gnm2.ann1.Glyma.08G113000
Bic-c2	Bicaudal- C gene 2	glyma.Wm82.gnm2.ann1.Glyma.03G064800
BIK1-2	BOTRYTIS INDUCED KINASE1 gene 2	glyma.Wm82.gnm1.ann1.Glyma02g41490
BIK1-6	BOTRYTIS INDUCED KINASE1 gene 6	glyma.Wm82.gnm1.ann1.Glyma14g07460
BIP2	ER-binding immunoglobulin protein BIP2	glyma.Wm82.gnm2.ann1.Glyma.08g025900
BMY1	beta-amylase	glyma.Wm82.gnm2.ann1.Glyma.15g098100
BMY1-1	Beta-amylase 1 gene 1	glyma.Wm82.gnm2.ann1.Glyma.06g301500
BMY1-2	Beta-amylase 1 gene 2	glyma.Wm82.gnm2.ann1.Glyma.15g098100
BMY1-3	Beta-amylase 1 gene 3	glyma.Wm82.gnm2.ann1.Glyma.08g025500
BMY2	Beta-amylase 2	glyma.Wm82.gnm2.ann1.Glyma.17g150100
BMY3-1	Beta-amylase 3 gene 1	glyma.Wm82.gnm2.ann1.Glyma.05g068000
BMY3-2	Beta-amylase 3 gene 2	glyma.Wm82.gnm2.ann1.Glyma.01g203400
BMY3-3	Beta-amylase 3 gene 3	glyma.Wm82.gnm2.ann1.Glyma.11g039400
BMY9	Beta-amylase 9	glyma.Wm82.gnm2.ann1.Glyma.13g215000
BOR2	boron transporter BOR2	glyma.Wm82.gnm2.ann1.Glyma.06g181900
BRC1	TCP tanscription factor BRC1	glyma.Wm82.gnm2.ann1.Glyma.06g210600
BRI1A	brassinosteroid receptor	glyma.Wm82.gnm2.ann1.Glyma.06g147600
BRI1B	brassinosteroid receptor	glyma.Wm82.gnm2.ann1.Glyma.04g218300
BRL1A	brassinosteroid receptor-like protein	glyma.Wm82.gnm2.ann1.Glyma.04g115700
BRL1B	brassinosteroid receptor-like protein	glyma.Wm82.gnm2.ann1.Glyma.06g320600
BRL2A	brassinosteroid receptor-like protein	glyma.Wm82.gnm2.ann1.Glyma.05g136900
BRL2B	brassinosteroid receptor-like protein	glyma.Wm82.gnm2.ann1.Glyma.08g092200
BSAS	beta-substituted alanine synthase	glyma.Wm82.gnm2.ann1.Glyma.19g119100
BURP2	BURP domain protein 2	glyma.Wm82.gnm2.ann1.Glyma.14g140900
bZIP100	Basic leucine zipper transcription factor-like protein gene 100	glyma.Wm82.gnm2.ann1.Glyma.12G088700
bZIP102	Basic leucine zipper transcription factor-like protein gene 102	glyma.Wm82.gnm2.ann1.Glyma.12G121000
bZIP103	Basic leucine zipper transcription factor-like protein gene 103	glyma.Wm82.gnm2.ann1.Glyma.12G184400
bZIP106	Basic leucine zipper transcription factor-like protein gene 106	glyma.Wm82.gnm2.ann1.Glyma.12G227700
bZIP107	Basic leucine zipper transcription factor-like protein gene 107	glyma.Wm82.gnm2.ann1.Glyma.13G050700
bZIP116	Basic leucine zipper transcription factor-like protein gene 116	glyma.Wm82.gnm2.ann1.Glyma.13G316900
bZIP118	Basic leucine zipper transcription factor-like protein gene 118	glyma.Wm82.gnm2.ann1.Glyma.13G345200
bZIP12	Basic leucine zipper transcription factor-like protein gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G097900
bZIP120	Basic leucine zipper transcription factor-like protein gene 120	glyma.Wm82.gnm2.ann1.Glyma.14G167000
bZIP127	Basic leucine zipper transcription factor-like protein gene 127	glyma.Wm82.gnm2.ann1.Glyma.15G129700
bZIP129	Basic leucine zipper transcription factor-like protein gene 129	glyma.Wm82.gnm2.ann1.Glyma.15G232000
bZIP13	Basic leucine zipper transcription factor-like protein gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G126100
bZIP131	Basic leucine zipper transcription factor-like protein gene 131	glyma.Wm82.gnm2.ann1.Glyma.16G092700
bZIP133	Basic leucine zipper transcription factor-like protein gene 133	glyma.Wm82.gnm2.ann1.Glyma.16G141500
bZIP134	Basic leucine zipper transcription factor-like protein gene 134	glyma.Wm82.gnm2.ann1.Glyma.16G168400
bZIP135	Basic leucine zipper transcription factor-like protein gene 135	glyma.Wm82.gnm2.ann1.Glyma.17G158900
bZIP136	Basic leucine zipper transcription factor-like protein gene 136	glyma.Wm82.gnm2.ann1.Glyma.17G188500
bZIP137	Basic leucine zipper transcription factor-like protein gene 137	glyma.Wm82.gnm2.ann1.Glyma.17G197300
bZIP138	Basic leucine zipper transcription factor-like protein gene 138	glyma.Wm82.gnm2.ann1.Glyma.17G253200
bZIP139	Basic leucine zipper transcription factor-like protein gene 139	glyma.Wm82.gnm2.ann1.Glyma.17G255800
bZIP14	Basic leucine zipper transcription factor-like protein gene 14	glyma.Wm82.gnm2.ann1.Glyma.02G131700
bZIP140	Basic leucine zipper transcription factor-like protein gene 140	glyma.Wm82.gnm2.ann1.Glyma.18G020900
bZIP141	Basic leucine zipper transcription factor-like protein gene 141	glyma.Wm82.gnm2.ann1.Glyma.18G052500
bZIP142	Basic leucine zipper transcription factor-like protein gene 142	glyma.Wm82.gnm2.ann1.Glyma.18G117100
bZIP143	Basic leucine zipper transcription factor-like protein gene 143	glyma.Wm82.gnm2.ann1.Glyma.18G277100
bZIP144	Basic leucine zipper transcription factor-like protein gene 144	glyma.Wm82.gnm2.ann1.Glyma.19G037900
bZIP145	Basic leucine zipper transcription factor-like protein gene 145	glyma.Wm82.gnm2.ann1.Glyma.19G067900
bZIP146	Basic leucine zipper transcription factor-like protein gene 146	glyma.Wm82.gnm2.ann1.Glyma.19G122800
bZIP147	Basic leucine zipper transcription factor-like protein gene 147	glyma.Wm82.gnm2.ann1.Glyma.19G126800
bZIP148	Basic leucine zipper transcription factor-like protein gene 148	glyma.Wm82.gnm2.ann1.Glyma.19G130200
bZIP149	Basic leucine zipper transcription factor-like protein gene 149	glyma.Wm82.gnm2.ann1.Glyma.19G145300
bZIP15	Basic leucine zipper transcription factor-like protein gene 15	glyma.Wm82.gnm2.ann1.Glyma.02G161100
bZIP150	Basic leucine zipper transcription factor-like protein gene 150	glyma.Wm82.gnm2.ann1.Glyma.19G193400
bZIP151	Basic leucine zipper transcription factor-like protein gene 151	glyma.Wm82.gnm2.ann1.Glyma.19G194500
bZIP152	Basic leucine zipper transcription factor-like protein gene 152	glyma.Wm82.gnm2.ann1.Glyma.19G216200
bZIP153	Basic leucine zipper transcription factor-like protein gene 153	glyma.Wm82.gnm2.ann1.Glyma.19G244800
bZIP154	Basic leucine zipper transcription factor-like protein gene 154	glyma.Wm82.gnm2.ann1.Glyma.19G252600
bZIP155	Basic leucine zipper transcription factor-like protein gene 155	glyma.Wm82.gnm2.ann1.Glyma.20G007700
bZIP156	Basic leucine zipper transcription factor-like protein gene 156	glyma.Wm82.gnm2.ann1.Glyma.20G032700
bZIP157	Basic leucine zipper transcription factor-like protein gene 157	glyma.Wm82.gnm2.ann1.Glyma.20G049200
bZIP158	Basic leucine zipper transcription factor-like protein gene 158	glyma.Wm82.gnm2.ann1.Glyma.20G113600
bZIP159	Basic leucine zipper transcription factor-like protein gene 159	glyma.Wm82.gnm2.ann1.Glyma.20G224500
bZIP160	Basic leucine zipper transcription factor-like protein gene 160	glyma.Wm82.gnm2.ann1.Glyma.20G246400
bZIP17	Basic leucine zipper transcription factor-like protein gene 17	glyma.Wm82.gnm2.ann1.Glyma.02G236200
bZIP18	Basic leucine zipper transcription factor-like protein gene 18	glyma.Wm82.gnm2.ann1.Glyma.03G003400
bZIP2	Basic leucine zipper transcription factor-like protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G069300
bZIP20	Basic leucine zipper transcription factor-like protein gene 20	glyma.Wm82.gnm2.ann1.Glyma.03G081700
bZIP23	Basic leucine zipper transcription factor-like protein gene 23	glyma.Wm82.gnm2.ann1.Glyma.03G128200
bZIP26	Basic leucine zipper transcription factor-like protein gene 26	glyma.Wm82.gnm2.ann1.Glyma.03G219300
bZIP29	Basic leucine zipper transcription factor-like protein gene 29	glyma.Wm82.gnm2.ann1.Glyma.04G010300
bZIP31	Basic leucine zipper transcription factor-like protein gene 31	glyma.Wm82.gnm2.ann1.Glyma.04G026200
bZIP32	Basic leucine zipper transcription factor-like protein gene 32	glyma.Wm82.gnm2.ann1.Glyma.04G029600
bZIP33	Basic leucine zipper transcription factor-like protein gene 33	glyma.Wm82.gnm2.ann1.Glyma.04G039300
bZIP34	Basic leucine zipper transcription factor-like protein gene 34	glyma.Wm82.gnm2.ann1.Glyma.04G078300
bZIP39	Basic leucine zipper transcription factor-like protein gene 39	glyma.Wm82.gnm2.ann1.Glyma.05G017400
bZIP40	Basic leucine zipper transcription factor-like protein gene 40	glyma.Wm82.gnm2.ann1.Glyma.05G079800
bZIP41	Basic leucine zipper transcription factor-like protein gene 41	glyma.Wm82.gnm2.ann1.Glyma.05G108200
bZIP43	Basic leucine zipper transcription factor-like protein gene 43	glyma.Wm82.gnm2.ann1.Glyma.05G157000
bZIP45	Basic leucine zipper transcription factor-like protein gene 45	glyma.Wm82.gnm2.ann1.Glyma.05G168100
bZIP49	Basic leucine zipper transcription factor-like protein gene 49	glyma.Wm82.gnm2.ann1.Glyma.06G029600
bZIP52	Basic leucine zipper transcription factor-like protein gene 52	glyma.Wm82.gnm2.ann1.Glyma.06G062000
bZIP53	Basic leucine zipper transcription factor-like protein gene 53	glyma.Wm82.gnm2.ann1.Glyma.06G079800
BZIP53B	bZIP transcription factor 53B	glyma.Wm82.gnm2.ann1.Glyma.19g216200
bZIP54	Basic leucine zipper transcription factor-like protein gene 54	glyma.Wm82.gnm2.ann1.Glyma.06G107300
bZIP56	Basic leucine zipper transcription factor-like protein gene 56	glyma.Wm82.gnm2.ann1.Glyma.06G307200
bZIP57	Basic leucine zipper transcription factor-like protein gene 57	glyma.Wm82.gnm2.ann1.Glyma.06G314400
bZIP6	Basic leucine zipper transcription factor-like protein gene 6	glyma.Wm82.gnm2.ann1.Glyma.01G177400
bZIP65	Basic leucine zipper transcription factor-like protein gene 65	glyma.Wm82.gnm2.ann1.Glyma.08G183600
bZIP66	Basic leucine zipper transcription factor-like protein gene 66	glyma.Wm82.gnm2.ann1.Glyma.08G227000
bZIP67	Basic leucine zipper transcription factor-like protein gene 67	glyma.Wm82.gnm2.ann1.Glyma.08G254400
bZIP7	Basic leucine zipper transcription factor-like protein gene 7	glyma.Wm82.gnm2.ann1.Glyma.01G195800
bZIP73	Basic leucine zipper transcription factor-like protein gene 73	glyma.Wm82.gnm2.ann1.Glyma.10G013300
BZIP73A	bZIP transcription factor bZIP73A	glyma.Wm82.gnm2.ann1.Glyma.18g277100
BZIP73B	BZIP transcription factor	glyma.Wm82.gnm2.ann1.Glyma.08g254400
bZIP74	Basic leucine zipper transcription factor-like protein gene 74	glyma.Wm82.gnm2.ann1.Glyma.10G071700
bZIP75	Basic leucine zipper transcription factor-like protein gene 75	glyma.Wm82.gnm2.ann1.Glyma.10G092100
bZIP76	Basic leucine zipper transcription factor-like protein gene 76	glyma.Wm82.gnm2.ann1.Glyma.10G162100
bZIP78	Basic leucine zipper transcription factor-like protein gene 78	glyma.Wm82.gnm2.ann1.Glyma.10G226000
bZIP79	Basic leucine zipper transcription factor-like protein gene 79	glyma.Wm82.gnm2.ann1.Glyma.10G276100
bZIP84	Basic leucine zipper transcription factor-like protein gene 84	glyma.Wm82.gnm2.ann1.Glyma.11G108100
bZIP86	Basic leucine zipper transcription factor-like protein gene 86	glyma.Wm82.gnm2.ann1.Glyma.11G114800
bZIP88	Basic leucine zipper transcription factor-like protein gene 88	glyma.Wm82.gnm2.ann1.Glyma.11G167400
bZIP91	Basic leucine zipper transcription factor-like protein gene 91	glyma.Wm82.gnm2.ann1.Glyma.11G168000
bZIP92	Basic leucine zipper transcription factor-like protein gene 92	glyma.Wm82.gnm2.ann1.Glyma.11G183700
bZIP95	Basic leucine zipper transcription factor-like protein gene 95	glyma.Wm82.gnm2.ann1.Glyma.12G033000
bZIP96	Basic leucine zipper transcription factor-like protein gene 96	glyma.Wm82.gnm2.ann1.Glyma.12G036400
bZIP97	Basic leucine zipper transcription factor-like protein gene 97	glyma.Wm82.gnm2.ann1.Glyma.12G040600
BZL2	protein BRASSINAZOLE-RESISTANT 1-like	glyma.Wm82.gnm2.ann1.Glyma.14g076900
BZL3	protein BRASSINAZOLE-RESISTANT 1-like	glyma.Wm82.gnm2.ann1.Glyma.06g034000
C/VIF1	pectinesterase inhibitor 	glyma.Wm82.gnm1.ann1.Glyma17g04050
C2-1	C2 domain containing protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G162100
C2-10	C2 domain containing protein gene 10	glyma.Wm82.gnm2.ann1.Glyma.02G220300
C2-100	C2 domain containing protein gene 100	glyma.Wm82.gnm2.ann1.Glyma.10G092200
C2-101	C2 domain containing protein gene 101	glyma.Wm82.gnm2.ann1.Glyma.10G130100
C2-102	C2 domain containing protein gene 102	glyma.Wm82.gnm2.ann1.Glyma.10G130800
C2-103	C2 domain containing protein gene 103	glyma.Wm82.gnm2.ann1.Glyma.10G165300
C2-104	C2 domain containing protein gene 104	glyma.Wm82.gnm2.ann1.Glyma.10G210000
C2-105	C2 domain containing protein gene 105	glyma.Wm82.gnm2.ann1.Glyma.11G000700
C2-106	C2 domain containing protein gene 106	glyma.Wm82.gnm2.ann1.Glyma.11G024300
C2-107	C2 domain containing protein gene 107	glyma.Wm82.gnm2.ann1.Glyma.11G040600
C2-108	C2 domain containing protein gene 108	glyma.Wm82.gnm2.ann1.Glyma.11G081500
C2-109	C2 domain containing protein gene 108	glyma.Wm82.gnm2.ann1.Glyma.11G103300
C2-11	C2 domain containing protein gene 11	glyma.Wm82.gnm2.ann1.Glyma.02G226800
C2-110	C2 domain containing protein gene 110	glyma.Wm82.gnm2.ann1.Glyma.11G107300
C2-111	C2 domain containing protein gene 111	glyma.Wm82.gnm2.ann1.Glyma.11G130400
C2-112	C2 domain containing protein gene 112	glyma.Wm82.gnm2.ann1.Glyma.11G154100
C2-113	C2 domain containing protein gene 113	glyma.Wm82.gnm2.ann1.Glyma.11G216900
C2-114	C2 domain containing protein gene 114	glyma.Wm82.gnm2.ann1.Glyma.11G219000
C2-115	C2 domain containing protein gene 115	glyma.Wm82.gnm2.ann1.Glyma.11G227500
C2-116	C2 domain containing protein gene 116	glyma.Wm82.gnm2.ann1.Glyma.11G229900
C2-117	C2 domain containing protein gene 117	glyma.Wm82.gnm2.ann1.Glyma.11G230000
C2-118	C2 domain containing protein gene 118	glyma.Wm82.gnm2.ann1.Glyma.11G230100
C2-119	C2 domain containing protein gene 119	glyma.Wm82.gnm2.ann1.Glyma.11G239900
C2-12	C2 domain containing protein gene 12	glyma.Wm82.gnm2.ann1.Glyma.02G247900
C2-120	C2 domain containing protein gene 120	glyma.Wm82.gnm2.ann1.Glyma.12G001500
C2-121	C2 domain containing protein gene 121	glyma.Wm82.gnm2.ann1.Glyma.12G028200
C2-122	C2 domain containing protein gene 122	glyma.Wm82.gnm2.ann1.Glyma.12G032400
C2-123	C2 domain containing protein gene 123	glyma.Wm82.gnm2.ann1.Glyma.12G239600
C2-124	C2 domain containing protein gene 124	glyma.Wm82.gnm2.ann1.Glyma.13G003100
C2-125	C2 domain containing protein gene 125	glyma.Wm82.gnm2.ann1.Glyma.13G003800
C2-126	C2 domain containing protein gene 126	glyma.Wm82.gnm2.ann1.Glyma.13G198600
C2-127	C2 domain containing protein gene 127	glyma.Wm82.gnm2.ann1.Glyma.13G261200
C2-128	C2 domain containing protein gene 128	glyma.Wm82.gnm2.ann1.Glyma.13G342700
C2-129	C2 domain containing protein gene 129	glyma.Wm82.gnm2.ann1.Glyma.13G364900
C2-13	C2 domain containing protein gene 13	glyma.Wm82.gnm2.ann1.Glyma.02G248000
C2-130	C2 domain containing protein gene 130	glyma.Wm82.gnm2.ann1.Glyma.14G016700
C2-131	C2 domain containing protein gene 131	glyma.Wm82.gnm2.ann1.Glyma.14G034900
C2-132	C2 domain containing protein gene 132	glyma.Wm82.gnm2.ann1.Glyma.14G059200
C2-133	C2 domain containing protein gene 133	glyma.Wm82.gnm2.ann1.Glyma.14G059300
C2-134	C2 domain containing protein gene 134	glyma.Wm82.gnm2.ann1.Glyma.14G059400
C2-135	C2 domain containing protein gene 135	glyma.Wm82.gnm2.ann1.Glyma.14G068400
C2-136	C2 domain containing protein gene 136	glyma.Wm82.gnm2.ann1.Glyma.14G098500
C2-137	C2 domain containing protein gene 137	glyma.Wm82.gnm2.ann1.Glyma.14G187500
C2-138	C2 domain containing protein gene 138	glyma.Wm82.gnm2.ann1.Glyma.14G193800
C2-139	C2 domain containing protein gene 139	glyma.Wm82.gnm2.ann1.Glyma.14G220000
C2-14	C2 domain containing protein gene 14	glyma.Wm82.gnm2.ann1.Glyma.02G248100
C2-140	C2 domain containing protein gene 140	glyma.Wm82.gnm2.ann1.Glyma.15G008400
C2-141	C2 domain containing protein gene 141	glyma.Wm82.gnm2.ann1.Glyma.15G008500
C2-142	C2 domain containing protein gene 142	glyma.Wm82.gnm2.ann1.Glyma.15G031600
C2-143	C2 domain containing protein gene 143	glyma.Wm82.gnm2.ann1.Glyma.15G120400
C2-144	C2 domain containing protein gene 144	glyma.Wm82.gnm2.ann1.Glyma.15G121500
C2-145	C2 domain containing protein gene 145	glyma.Wm82.gnm2.ann1.Glyma.15G130300
C2-146	C2 domain containing protein gene 146	glyma.Wm82.gnm2.ann1.Glyma.15G152900
C2-147	C2 domain containing protein gene 147	glyma.Wm82.gnm2.ann1.Glyma.15G236900
C2-148	C2 domain containing protein gene 148	glyma.Wm82.gnm2.ann1.Glyma.15G245600
C2-149	C2 domain containing protein gene 149	glyma.Wm82.gnm2.ann1.Glyma.15G271400
C2-15	C2 domain containing protein gene 15	glyma.Wm82.gnm2.ann1.Glyma.02G257000
C2-150	C2 domain containing protein gene 150	glyma.Wm82.gnm2.ann1.Glyma.16G180300
C2-151	C2 domain containing protein gene 151	glyma.Wm82.gnm2.ann1.Glyma.16G180400
C2-152	C2 domain containing protein gene 152	glyma.Wm82.gnm2.ann1.Glyma.17G004700
C2-153	C2 domain containing protein gene 153	glyma.Wm82.gnm2.ann1.Glyma.17G109500
C2-154	C2 domain containing protein gene 154	glyma.Wm82.gnm2.ann1.Glyma.17G166900
C2-155	C2 domain containing protein gene 155	glyma.Wm82.gnm2.ann1.Glyma.17G259000
C2-156	C2 domain containing protein gene 156	glyma.Wm82.gnm2.ann1.Glyma.18G017500
C2-157	C2 domain containing protein gene 157	glyma.Wm82.gnm2.ann1.Glyma.18G027100
C2-158	C2 domain containing protein gene 158	glyma.Wm82.gnm2.ann1.Glyma.18G027200
C2-159	C2 domain containing protein gene 159	glyma.Wm82.gnm2.ann1.Glyma.18G027300
C2-16	C2 domain containing protein gene 16	glyma.Wm82.gnm2.ann1.Glyma.02G257100
C2-160	C2 domain containing protein gene 160	glyma.Wm82.gnm2.ann1.Glyma.18G030000
C2-161	C2 domain containing protein gene 161	glyma.Wm82.gnm2.ann1.Glyma.18G038400
C2-162	C2 domain containing protein gene 162	glyma.Wm82.gnm2.ann1.Glyma.18G039700
C2-163	C2 domain containing protein gene 163	glyma.Wm82.gnm2.ann1.Glyma.18G081900
C2-164	C2 domain containing protein gene 164	glyma.Wm82.gnm2.ann1.Glyma.18G224000
C2-165	C2 domain containing protein gene 165	glyma.Wm82.gnm2.ann1.Glyma.18G224800
C2-166	C2 domain containing protein gene 166	glyma.Wm82.gnm2.ann1.Glyma.18G225300
C2-167	C2 domain containing protein gene 167	glyma.Wm82.gnm2.ann1.Glyma.18G225400
C2-168	C2 domain containing protein gene 168	glyma.Wm82.gnm2.ann1.Glyma.18G230800
C2-169	C2 domain containing protein gene 169	glyma.Wm82.gnm2.ann1.Glyma.18G288600
C2-17	C2 domain containing protein gene 17	glyma.Wm82.gnm2.ann1.Glyma.02G257200
C2-170	C2 domain containing protein gene 170	glyma.Wm82.gnm2.ann1.Glyma.19G070700
C2-171	C2 domain containing protein gene 171	glyma.Wm82.gnm2.ann1.Glyma.19G070800
C2-172	C2 domain containing protein gene 172	glyma.Wm82.gnm2.ann1.Glyma.19G145400
C2-173	C2 domain containing protein gene 173	glyma.Wm82.gnm2.ann1.Glyma.19G239500
C2-174	C2 domain containing protein gene 174	glyma.Wm82.gnm2.ann1.Glyma.19G247300
C2-175	C2 domain containing protein gene 175	glyma.Wm82.gnm2.ann1.Glyma.19G252000
C2-176	C2 domain containing protein gene 176	glyma.Wm82.gnm2.ann1.Glyma.20G037600
C2-177	C2 domain containing protein gene 177	glyma.Wm82.gnm2.ann1.Glyma.20G081500
C2-178	C2 domain containing protein gene 178	glyma.Wm82.gnm2.ann1.Glyma.20G081900
C2-179	C2 domain containing protein gene 179	glyma.Wm82.gnm2.ann1.Glyma.20G180600
C2-18	C2 domain containing protein gene 18	glyma.Wm82.gnm2.ann1.Glyma.02G279900
C2-180	C2 domain containing protein gene 180	glyma.Wm82.gnm2.ann1.Glyma.20G199700
C2-19	C2 domain containing protein gene 19	glyma.Wm82.gnm2.ann1.Glyma.02G296900
C2-2	C2 domain containing protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G202200
C2-20	C2 domain containing protein gene 20	glyma.Wm82.gnm2.ann1.Glyma.03G012600
C2-21	C2 domain containing protein gene 21	glyma.Wm82.gnm2.ann1.Glyma.03G015400
C2-22	C2 domain containing protein gene 22	glyma.Wm82.gnm2.ann1.Glyma.03G015800
C2-23	C2 domain containing protein gene 23	glyma.Wm82.gnm2.ann1.Glyma.03G016000
C2-24	C2 domain containing protein gene 24	glyma.Wm82.gnm2.ann1.Glyma.03G016100
C2-25	C2 domain containing protein gene 25	glyma.Wm82.gnm2.ann1.Glyma.03G016200
C2-26	C2 domain containing protein gene 26	glyma.Wm82.gnm2.ann1.Glyma.03G016300
C2-27	C2 domain containing protein gene 27	glyma.Wm82.gnm2.ann1.Glyma.03G016400
C2-28	C2 domain containing protein gene 28	glyma.Wm82.gnm2.ann1.Glyma.03G020800
C2-29	C2 domain containing protein gene 29	glyma.Wm82.gnm2.ann1.Glyma.03G142500
C2-3	C2 domain containing protein gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G215100
C2-30	C2 domain containing protein gene 30	glyma.Wm82.gnm2.ann1.Glyma.03G242100
C2-31	C2 domain containing protein gene 31	glyma.Wm82.gnm2.ann1.Glyma.03G242200
C2-32	C2 domain containing protein gene 32	glyma.Wm82.gnm2.ann1.Glyma.03G249700
C2-33	C2 domain containing protein gene 33	glyma.Wm82.gnm2.ann1.Glyma.03G254400
C2-34	C2 domain containing protein gene 34	glyma.Wm82.gnm2.ann1.Glyma.04G020400
C2-35	C2 domain containing protein gene 35	glyma.Wm82.gnm2.ann1.Glyma.04G141600
C2-36	C2 domain containing protein gene 36	glyma.Wm82.gnm2.ann1.Glyma.04G187900
C2-37	C2 domain containing protein gene 37	glyma.Wm82.gnm2.ann1.Glyma.04G201500
C2-38	C2 domain containing protein gene 38	glyma.Wm82.gnm2.ann1.Glyma.04G224600
C2-39	C2 domain containing protein gene 39	glyma.Wm82.gnm2.ann1.Glyma.05G029600
C2-4	C2 domain containing protein gene 4	glyma.Wm82.gnm2.ann1.Glyma.01G219200
C2-40	C2 domain containing protein gene 40	glyma.Wm82.gnm2.ann1.Glyma.05G098700
C2-41	C2 domain containing protein gene 41	glyma.Wm82.gnm2.ann1.Glyma.05G165900
C2-42	C2 domain containing protein gene 42	glyma.Wm82.gnm2.ann1.Glyma.05G168300
C2-43	C2 domain containing protein gene 43	glyma.Wm82.gnm2.ann1.Glyma.05G204900
C2-44	C2 domain containing protein gene 44	glyma.Wm82.gnm2.ann1.Glyma.05G246400
C2-45	C2 domain containing protein gene 45	glyma.Wm82.gnm2.ann1.Glyma.06G003700
C2-46	C2 domain containing protein gene 46	glyma.Wm82.gnm2.ann1.Glyma.06G020500
C2-47	C2 domain containing protein gene 47	glyma.Wm82.gnm2.ann1.Glyma.06G066600
C2-48	C2 domain containing protein gene 48	glyma.Wm82.gnm2.ann1.Glyma.06G068600
C2-49	C2 domain containing protein gene 49	glyma.Wm82.gnm2.ann1.Glyma.06G068700
C2-5	C2 domain containing protein gene 5	glyma.Wm82.gnm2.ann1.Glyma.01G244500
C2-50	C2 domain containing protein gene 50	glyma.Wm82.gnm2.ann1.Glyma.06G140100
C2-51	C2 domain containing protein gene 51	glyma.Wm82.gnm2.ann1.Glyma.06G163800
C2-52	C2 domain containing protein gene 52	glyma.Wm82.gnm2.ann1.Glyma.06G177800
C2-53	C2 domain containing protein gene 53	glyma.Wm82.gnm2.ann1.Glyma.06G241700
C2-54	C2 domain containing protein gene 54	glyma.Wm82.gnm2.ann1.Glyma.06G292000
C2-55	C2 domain containing protein gene 55	glyma.Wm82.gnm2.ann1.Glyma.07G010900
C2-56	C2 domain containing protein gene 56	glyma.Wm82.gnm2.ann1.Glyma.07G031100
C2-57	C2 domain containing protein gene 57	glyma.Wm82.gnm2.ann1.Glyma.07G072500
C2-58	C2 domain containing protein gene 58	glyma.Wm82.gnm2.ann1.Glyma.07G075300
C2-59	C2 domain containing protein gene 59	glyma.Wm82.gnm2.ann1.Glyma.07G076100
C2-6	C2 domain containing protein gene 6	glyma.Wm82.gnm2.ann1.Glyma.02G093500
C2-60	C2 domain containing protein gene 60	glyma.Wm82.gnm2.ann1.Glyma.07G076200
C2-61	C2 domain containing protein gene 61	glyma.Wm82.gnm2.ann1.Glyma.07G076300
C2-62	C2 domain containing protein gene 62	glyma.Wm82.gnm2.ann1.Glyma.07G076400
